season,name,talk_title,talk_date,description,materials,event_image
2026-Spring,Tommie Juzek;Lan Li,Reinforcement Learning from Verifiable Rewards,2026-04-17,,
2026-Spring,Gordon Erlebacher,The Quantum Transformer,2026-04-24,,
2026-Fall,Christian Hubicki,Status of AI in Robotics,2026-08-28,"Where robotics actually stands today, across embodied learning, manipulation, and legged locomotion. The through-line is the distance between a system that performs well in a lab demo and one that holds up in a warehouse or a hospital corridor, and what closing that gap would take.",,
2026-Fall,Olmo Zavala Romero,Physics-Informed Learning,2026-09-04,"Physics-informed neural networks build the governing equations of a system directly into the training loss, so a model is penalized for violating known physics rather than only for missing the data. This session covers how PINNs encode PDEs, and how variants such as XPINNs, VPINNs, adaptive collocation, and physics-guided networks address what follows: scaling to large domains, respecting conservation laws, and keeping training stable.",,
2026-Fall,Speaker TBA,AI for Scientific Discovery,2026-09-11,"Machine learning is moving upstream in the research process, from analyzing results to proposing what to test next. This session looks at hypothesis generation, experimental design, and automated discovery loops, and at what separates the fields where these methods have produced real findings from those where they have mostly produced papers about themselves.",,
2026-Fall,Speaker TBA,"Kimi 3 (Transformers, MoE, and Beyond)",2026-09-18,"Moonshot AI released Kimi K3 in July 2026: a sparse mixture-of-experts model with roughly 2.8 trillion total parameters, only a small fraction of which activate for any given token, and a context window near a million tokens. This session uses it as a case study in where large architectures are heading, what MoE routing buys, what it costs, and why the frontier keeps moving from denser models toward sparser ones.",,
2026-Fall,Hristo Chipilski,Exascale Generative Data Assimilation in Earth System Prediction,2026-09-25,"Data assimilation is how a forecasting system reconciles its numerical model with incoming observations, and the standard methods assume errors are roughly Gaussian — an assumption that fails badly for clouds, convection, and precipitation. This session covers what generative AI and exascale computing change about that problem, and what Earth system prediction could look like once the Gaussian assumption is dropped.",,
2026-Fall,Brian Bartoldson,AI Safety at Scale,2026-10-02,"Adversarial robustness has a scaling story: attacks and defenses both improve with compute, and the practical question is which improves faster. This session covers automated red-teaming, using models to find the failure modes of other models, and how reinforcement learning is being applied to strengthen both reasoning and resistance to attack.",,
2026-Fall,Xiuwen Liu,Agentic Systems,2026-10-09,"A language model becomes an agent once it can plan, call tools, and carry state across steps. This session covers how those three pieces are built and, more usefully, where they break: planning that degrades over long horizons, tool calls that fail silently, and memory that either discards what mattered or buries the model in what did not.",,
2026-Fall,Speaker TBA,Using AI in Mathematical Research,2026-10-16,"Two quite different technologies are changing mathematical practice: language models that suggest constructions and proof strategies, and proof assistants such as Lean that mechanically verify them. This session covers how each is being used to explore conjectures, where they genuinely help, and how far they remain from doing mathematics unaided.",,
2026-Fall,Nick Dexter,AI Interpretability (Math Joint),2026-10-23,"Mechanistic interpretability treats a trained network as an object to be reverse-engineered rather than a black box to be benchmarked. This joint session with mathematics covers the techniques used to work out what internal components actually compute, and the mathematical questions underneath: what a feature is, why networks superpose them, and what would even count as an explanation.",,
2026-Fall,Astrit Tola,Topology-Aware Graph Representation Learning,2026-10-30,"Standard message-passing graph networks are provably blind to certain structures, unable to tell apart graphs that differ in ways obvious to any reader. Topological data analysis offers a route around this, using persistent homology to capture shape features that message passing misses. This session covers how those descriptors are built and what they buy in expressiveness and interpretability.",,
2026-Fall,Gordon Erlebacher,World Models (LeCun),2026-11-06,"Yann LeCun's argument is that generative models solve the wrong problem: predicting every pixel or token spends capacity on detail that does not matter. His alternative, the joint-embedding predictive architecture, predicts within a learned representation space instead. This session covers the world-model program, what JEPA does differently, and the case for learning by prediction rather than generation.",,
2026-Fall,Suvranu De,Surgical Robotics / Deep AI for Health,2026-11-13,"Surgical simulation has to run fast enough to feel real and be accurate enough to be worth practicing on, which is a genuinely hard computational constraint. This session covers AI and machine learning across healthcare applications: virtual-reality surgical training, noninvasive neuroimaging and neuromodulation, and the modeling that underpins them.",,
2026-Fall,🏈,Homecoming — No Classes After 12:00 p.m.,2026-11-20,,,fsu-homecoming.webp
2026-Fall,🦃,Thanksgiving Holiday — No Classes,2026-11-27,,,thanksgiving.webp
2026-Fall,Michael Wolfe,Artificial Intelligence for Scientific Discovery,2026-12-04,"Where artificial intelligence is changing how research actually gets done, from literature synthesis and hypothesis generation through experimental design and analysis. The session also covers the harder institutional question: what it takes to put these capabilities directly into the hands of domain scientists rather than routing every project through a specialist, and where the real bottlenecks sit.",,
